errorserrors,ErrorsErrors,CountCount,最大値Maximum,,"ShardId、ErrorTypeShardId, ErrorType",,,,,,,
connectedclients0connectedclients0,接続されているクライアント数 (シャード 0)Connected Clients (Shard 0),CountCount,最大値Maximum,,ディメンションなしNo Dimensions,,,,,,,
totalcommandsprocessed0totalcommandsprocessed0,合計処理数 (シャード 0)Total Operations (Shard 0),CountCount,合計Total,,ディメンションなしNo Dimensions,,,,,,,
cachehits0cachehits0,キャッシュ ヒット数 (シャード 0)Cache Hits (Shard 0),CountCount,合計Total,,ディメンションなしNo Dimensions,,,,,,,
cachemisses0cachemisses0,キャッシュ ミス数 (シャード 0)Cache Misses (Shard 0),CountCount,合計Total,,ディメンションなしNo Dimensions,,,,,,,
getcommands0getcommands0,取得数 (シャード 0)Gets (Shard 0),CountCount,合計Total,,ディメンションなしNo Dimensions,,,,,,,
setcommands0setcommands0,設定数 (シャード 0)Sets (Shard 0),CountCount,合計Total,,ディメンションなしNo Dimensions,,,,,,,
operationsPerSecond0operationsPerSecond0,1 秒あたりの操作回数 (シャード 0)Operations Per Second (Shard 0),CountCount,最大値Maximum,,ディメンションなしNo Dimensions,,,,,,,
evictedkeys0evictedkeys0,削除されたキー数 (シャード 0)Evicted Keys (Shard 0),CountCount,合計Total,,ディメンションなしNo Dimensions,,,,,,,
totalkeys0totalkeys0,合計キー数 (シャード 0)Total Keys (Shard 0),CountCount,最大値Maximum,,ディメンションなしNo Dimensions,,,,,,,
expiredkeys0expiredkeys0,期限切れキー数 (シャード 0)Expired Keys (Shard 0),CountCount,合計Total,,ディメンションなしNo Dimensions,,,,,,,
usedmemory0usedmemory0,メモリ使用量 (シャード 0)Used Memory (Shard 0),BytesBytes,最大値Maximum,,ディメンションなしNo Dimensions,,,,,,,
usedmemoryRss0usedmemoryRss0,RSS メモリ使用量 (シャード 0)Used Memory RSS (Shard 0),BytesBytes,最大値Maximum,,ディメンションなしNo Dimensions,,,,,,,
serverLoad0serverLoad0,サーバーの負荷 (シャード 0)Server Load (Shard 0),PercentPercent,最大値Maximum,,ディメンションなしNo Dimensions,,,,,,,
cacheWrite0cacheWrite0,キャッシュの書き込み (シャード 0)Cache Write (Shard 0),BytesPerSecondBytesPerSecond,最大値Maximum,,ディメンションなしNo Dimensions,,,,,,,
cacheRead0cacheRead0,キャッシュの読み取り (シャード 0)Cache Read (Shard 0),BytesPerSecondBytesPerSecond,最大値Maximum,,ディメンションなしNo Dimensions,,,,,,,
percentProcessorTime0percentProcessorTime0,CPU (シャード 0)CPU (Shard 0),PercentPercent,最大値Maximum,,ディメンションなしNo Dimensions,,,,,,,
connectedclients1connectedclients1,接続されているクライアント数 (シャード 1)Connected Clients (Shard 1),CountCount,最大値Maximum,,ディメンションなしNo Dimensions,,,,,,,
totalcommandsprocessed1totalcommandsprocessed1,合計処理数 (シャード 1)Total Operations (Shard 1),CountCount,合計Total,,ディメンションなしNo Dimensions,,,,,,,
cachehits1cachehits1,キャッシュ ヒット数 (シャード 1)Cache Hits (Shard 1),CountCount,合計Total,,ディメンションなしNo Dimensions,,,,,,,
cachemisses1cachemisses1,キャッシュ ミス数 (シャード 1)Cache Misses (Shard 1),CountCount,合計Total,,ディメンションなしNo Dimensions,,,,,,,
getcommands1getcommands1,取得数 (シャード 1)Gets (Shard 1),CountCount,合計Total,,ディメンションなしNo Dimensions,,,,,,,
setcommands1setcommands1,設定数 (シャード 1)Sets (Shard 1),CountCount,合計Total,,ディメンションなしNo Dimensions,,,,,,,
operationsPerSecond1operationsPerSecond1,1 秒あたりの操作回数 (シャード 1)Operations Per Second (Shard 1),CountCount,最大値Maximum,,ディメンションなしNo Dimensions,,,,,,,
evictedkeys1evictedkeys1,削除されたキー数 (シャード 1)Evicted Keys (Shard 1),CountCount,合計Total,,ディメンションなしNo Dimensions,,,,,,,
totalkeys1totalkeys1,合計キー数 (シャード 1)Total Keys (Shard 1),CountCount,最大値Maximum,,ディメンションなしNo Dimensions,,,,,,,
expiredkeys1expiredkeys1,期限切れキー数 (シャード 1)Expired Keys (Shard 1),CountCount,合計Total,,ディメンションなしNo Dimensions,,,,,,,
usedmemory1usedmemory1,メモリ使用量 (シャード 1)Used Memory (Shard 1),BytesBytes,最大値Maximum,,ディメンションなしNo Dimensions,,,,,,,
usedmemoryRss1usedmemoryRss1,RSS メモリ使用量 (シャード 1)Used Memory RSS (Shard 1),BytesBytes,最大値Maximum,,ディメンションなしNo Dimensions,,,,,,,
serverLoad1serverLoad1,サーバーの負荷 (シャード 1)Server Load (Shard 1),PercentPercent,最大値Maximum,,ディメンションなしNo Dimensions,,,,,,,
cacheWrite1cacheWrite1,キャッシュの書き込み (シャード 1)Cache Write (Shard 1),BytesPerSecondBytesPerSecond,最大値Maximum,,ディメンションなしNo Dimensions,,,,,,,
cacheRead1cacheRead1,キャッシュの読み取り (シャード 1)Cache Read (Shard 1),BytesPerSecondBytesPerSecond,最大値Maximum,,ディメンションなしNo Dimensions,,,,,,,
percentProcessorTime1percentProcessorTime1,CPU (シャード 1)CPU (Shard 1),PercentPercent,最大値Maximum,,ディメンションなしNo Dimensions,,,,,,,
connectedclients2connectedclients2,接続されているクライアント数 (シャード 2)Connected Clients (Shard 2),CountCount,最大値Maximum,,ディメンションなしNo Dimensions,,,,,,,
totalcommandsprocessed2totalcommandsprocessed2,合計処理数 (シャード 2)Total Operations (Shard 2),CountCount,合計Total,,ディメンションなしNo Dimensions,,,,,,,
cachehits2cachehits2,キャッシュ ヒット数 (シャード 2)Cache Hits (Shard 2),CountCount,合計Total,,ディメンションなしNo Dimensions,,,,,,,
cachemisses2cachemisses2,キャッシュ ミス数 (シャード 2)Cache Misses (Shard 2),CountCount,合計Total,,ディメンションなしNo Dimensions,,,,,,,
getcommands2getcommands2,取得数 (シャード 2)Gets (Shard 2),CountCount,合計Total,,ディメンションなしNo Dimensions,,,,,,,
setcommands2setcommands2,設定数 (シャード 2)Sets (Shard 2),CountCount,合計Total,,ディメンションなしNo Dimensions,,,,,,,
operationsPerSecond2operationsPerSecond2,1 秒あたりの操作回数 (シャード 2)Operations Per Second (Shard 2),CountCount,最大値Maximum,,ディメンションなしNo Dimensions,,,,,,,
evictedkeys2evictedkeys2,削除されたキー数 (シャード 2)Evicted Keys (Shard 2),CountCount,合計Total,,ディメンションなしNo Dimensions,,,,,,,
totalkeys2totalkeys2,合計キー数 (シャード 2)Total Keys (Shard 2),CountCount,最大値Maximum,,ディメンションなしNo Dimensions,,,,,,,
expiredkeys2expiredkeys2,期限切れキー数 (シャード 2)Expired Keys (Shard 2),CountCount,合計Total,,ディメンションなしNo Dimensions,,,,,,,
usedmemory2usedmemory2,メモリ使用量 (シャード 2)Used Memory (Shard 2),BytesBytes,最大値Maximum,,ディメンションなしNo Dimensions,,,,,,,
usedmemoryRss2usedmemoryRss2,RSS メモリ使用量 (シャード 2)Used Memory RSS (Shard 2),BytesBytes,最大値Maximum,,ディメンションなしNo Dimensions,,,,,,,
serverLoad2serverLoad2,サーバーの負荷 (シャード 2)Server Load (Shard 2),PercentPercent,最大値Maximum,,ディメンションなしNo Dimensions,,,,,,,
cacheWrite2cacheWrite2,キャッシュの書き込み (シャード 2)Cache Write (Shard 2),BytesPerSecondBytesPerSecond,最大値Maximum,,ディメンションなしNo Dimensions,,,,,,,
cacheRead2cacheRead2,キャッシュの読み取り (シャード 2)Cache Read (Shard 2),BytesPerSecondBytesPerSecond,最大値Maximum,,ディメンションなしNo Dimensions,,,,,,,
percentProcessorTime2percentProcessorTime2,CPU (シャード 2)CPU (Shard 2),PercentPercent,最大値Maximum,,ディメンションなしNo Dimensions,,,,,,,
connectedclients3connectedclients3,接続されているクライアント数 (シャード 3)Connected Clients (Shard 3),CountCount,最大値Maximum,,ディメンションなしNo Dimensions,,,,,,,
totalcommandsprocessed3totalcommandsprocessed3,合計処理数 (シャード 3)Total Operations (Shard 3),CountCount,合計Total,,ディメンションなしNo Dimensions,,,,,,,
cachehits3cachehits3,キャッシュ ヒット数 (シャード 3)Cache Hits (Shard 3),CountCount,合計Total,,ディメンションなしNo Dimensions,,,,,,,
cachemisses3cachemisses3,キャッシュ ミス数 (シャード 3)Cache Misses (Shard 3),CountCount,合計Total,,ディメンションなしNo Dimensions,,,,,,,
getcommands3getcommands3,取得数 (シャード 3)Gets (Shard 3),CountCount,合計Total,,ディメンションなしNo Dimensions,,,,,,,
setcommands3setcommands3,設定数 (シャード 3)Sets (Shard 3),CountCount,合計Total,,ディメンションなしNo Dimensions,,,,,,,
operationsPerSecond3operationsPerSecond3,1 秒あたりの操作回数 (シャード 3)Operations Per Second (Shard 3),CountCount,最大値Maximum,,ディメンションなしNo Dimensions,,,,,,,
evictedkeys3evictedkeys3,削除されたキー数 (シャード 3)Evicted Keys (Shard 3),CountCount,合計Total,,ディメンションなしNo Dimensions,,,,,,,
totalkeys3totalkeys3,合計キー数 (シャード 3)Total Keys (Shard 3),CountCount,最大値Maximum,,ディメンションなしNo Dimensions,,,,,,,
expiredkeys3expiredkeys3,期限切れキー数 (シャード 3)Expired Keys (Shard 3),CountCount,合計Total,,ディメンションなしNo Dimensions,,,,,,,
usedmemory3usedmemory3,メモリ使用量 (シャード 3)Used Memory (Shard 3),BytesBytes,最大値Maximum,,ディメンションなしNo Dimensions,,,,,,,
usedmemoryRss3usedmemoryRss3,RSS メモリ使用量 (シャード 3)Used Memory RSS (Shard 3),BytesBytes,最大値Maximum,,ディメンションなしNo Dimensions,,,,,,,
serverLoad3serverLoad3,サーバーの負荷 (シャード 3)Server Load (Shard 3),PercentPercent,最大値Maximum,,ディメンションなしNo Dimensions,,,,,,,
cacheWrite3cacheWrite3,キャッシュの書き込み (シャード 3)Cache Write (Shard 3),BytesPerSecondBytesPerSecond,最大値Maximum,,ディメンションなしNo Dimensions,,,,,,,
cacheRead3cacheRead3,キャッシュの読み取り (シャード 3)Cache Read (Shard 3),BytesPerSecondBytesPerSecond,最大値Maximum,,ディメンションなしNo Dimensions,,,,,,,
percentProcessorTime3percentProcessorTime3,CPU (シャード 3)CPU (Shard 3),PercentPercent,最大値Maximum,,ディメンションなしNo Dimensions,,,,,,,
connectedclients4connectedclients4,接続されているクライアント数 (シャード 4)Connected Clients (Shard 4),CountCount,最大値Maximum,,ディメンションなしNo Dimensions,,,,,,,
totalcommandsprocessed4totalcommandsprocessed4,合計処理数 (シャード 4)Total Operations (Shard 4),CountCount,合計Total,,ディメンションなしNo Dimensions,,,,,,,
cachehits4cachehits4,キャッシュ ヒット数 (シャード 4)Cache Hits (Shard 4),CountCount,合計Total,,ディメンションなしNo Dimensions,,,,,,,
cachemisses4cachemisses4,キャッシュ ミス数 (シャード 4)Cache Misses (Shard 4),CountCount,合計Total,,ディメンションなしNo Dimensions,,,,,,,
getcommands4getcommands4,取得数 (シャード 4)Gets (Shard 4),CountCount,合計Total,,ディメンションなしNo Dimensions,,,,,,,
setcommands4setcommands4,設定数 (シャード 4)Sets (Shard 4),CountCount,合計Total,,ディメンションなしNo Dimensions,,,,,,,
operationsPerSecond4operationsPerSecond4,1 秒あたりの操作回数 (シャード 4)Operations Per Second (Shard 4),CountCount,最大値Maximum,,ディメンションなしNo Dimensions,,,,,,,
evictedkeys4evictedkeys4,削除されたキー数 (シャード 4)Evicted Keys (Shard 4),CountCount,合計Total,,ディメンションなしNo Dimensions,,,,,,,
totalkeys4totalkeys4,合計キー数 (シャード 4)Total Keys (Shard 4),CountCount,最大値Maximum,,ディメンションなしNo Dimensions,,,,,,,
expiredkeys4expiredkeys4,期限切れキー数 (シャード 4)Expired Keys (Shard 4),CountCount,合計Total,,ディメンションなしNo Dimensions,,,,,,,
usedmemory4usedmemory4,メモリ使用量 (シャード 4)Used Memory (Shard 4),BytesBytes,最大値Maximum,,ディメンションなしNo Dimensions,,,,,,,
usedmemoryRss4usedmemoryRss4,RSS メモリ使用量 (シャード 4)Used Memory RSS (Shard 4),BytesBytes,最大値Maximum,,ディメンションなしNo Dimensions,,,,,,,
serverLoad4serverLoad4,サーバーの負荷 (シャード 4)Server Load (Shard 4),PercentPercent,最大値Maximum,,ディメンションなしNo Dimensions,,,,,,,
cacheWrite4cacheWrite4,キャッシュの書き込み (シャード 4)Cache Write (Shard 4),BytesPerSecondBytesPerSecond,最大値Maximum,,ディメンションなしNo Dimensions,,,,,,,
cacheRead4cacheRead4,キャッシュの読み取り (シャード 4)Cache Read (Shard 4),BytesPerSecondBytesPerSecond,最大値Maximum,,ディメンションなしNo Dimensions,,,,,,,
percentProcessorTime4percentProcessorTime4,CPU (シャード 4)CPU (Shard 4),PercentPercent,最大値Maximum,,ディメンションなしNo Dimensions,,,,,,,
connectedclients5connectedclients5,接続されているクライアント数 (シャード 5)Connected Clients (Shard 5),CountCount,最大値Maximum,,ディメンションなしNo Dimensions,,,,,,,
